representative_protein	db	db_hit	name	counts	length	N_Hotspot_communities	N_Hotspots	N_Hotpot_islands	N_Non_hotspot_islands	N_Proteome_communities	N_Flanked_hotspot_islands	N_Flanked_non_hotspot_islands	N_island_neighbours	N_defence_island_neighbours	N_virulence_island_neighbours	N_anti-defence_island_neighbours	N_AMR_island_neighbours	defence_avg_cargo_fraction	defence_max_cargo_fraction	virulence_avg_cargo_fraction	virulence_max_cargo_fraction	anti-defence_avg_cargo_fraction	anti-defence_max_cargo_fraction	AMR_avg_cargo_fraction	AMR_max_cargo_fraction	hotspots
TemPhD_cluster_37844_CDS_0025	None	None	hypothetical protein	2	448	1	1	2	0	1	2	0	0	0	0	0	0	0.1364	0.1364	0.0	0.0	0.0	0.0	0.0	0.0	0-0
TemPhD_cluster_33805_CDS_0024	None	None	hypothetical protein	13	182	1	1	13	0	1	13	0	0	0	0	0	0	0.1364	0.1364	0.0	0.0	0.0	0.0	0.0	0.0	0-0
TemPhD_cluster_63038_CDS_0024	None	None	hypothetical protein	2	434	1	1	2	0	1	2	0	0	0	0	0	0	0.1364	0.1364	0.0	0.0	0.0	0.0	0.0	0.0	0-0
TemPhD_cluster_9963_CDS_0025	defence	PD-T4-8_WP_163657221.1	hypothetical protein	1	409	1	1	1	0	1	1	0	0	0	0	0	0	0.1137	0.1137	0.0	0.0	0.0	0.0	0.0	0.0	0-0
TemPhD_cluster_23866_CDS_0023	None	None	hypothetical protein	3	360	1	1	3	0	1	3	0	2	0	0	0	0	0.1364	0.1364	0.0	0.0	0.0	0.0	0.0	0.0	0-0
TemPhD_cluster_52222_CDS_0024	None	None	hypothetical protein	1	425	1	1	1	0	1	1	0	0	0	0	0	0	0.1364	0.1364	0.0	0.0	0.0	0.0	0.0	0.0	0-0
TemPhD_cluster_62953_CDS_0027	None	None	hypothetical protein	6	300	1	1	6	0	1	6	0	0	0	0	0	0	0.1364	0.1364	0.0	0.0	0.0	0.0	0.0	0.0	0-0
NC_022750.1_CDS_0025	defence	PDC-S51_WP_168354203.1	hypothetical protein	2	369	1	1	2	0	1	2	0	0	0	0	0	0	0.1137	0.1137	0.0	0.0	0.0	0.0	0.0	0.0	0-0
TemPhD_cluster_63057_CDS_0025	defence	FS_GIY_YIG__GIY_YIG	hypothetical protein	1	328	1	1	1	0	1	1	0	0	0	0	0	0	0.1137	0.1137	0.0	0.0	0.0	0.0	0.0	0.0	0-0
TemPhD_cluster_51960_CDS_0024	None	None	hypothetical protein	1	200	1	1	1	0	1	1	0	3	1	0	0	0	0.1364	0.1364	0.0	0.0	0.0	0.0	0.0	0.0	0-0
TemPhD_cluster_51960_CDS_0025	defence	DpdB_00001 DpdB	ParB-like partition protein	1	350	1	1	1	0	1	1	0	3	0	0	0	0	0.1137	0.1137	0.0	0.0	0.0	0.0	0.0	0.0	0-0
TemPhD_cluster_52018_CDS_0025	None	None	hypothetical protein	7	93	1	1	7	0	1	7	0	2	0	0	0	0	0.1364	0.1364	0.0	0.0	0.0	0.0	0.0	0.0	0-0
TemPhD_cluster_33807_CDS_0025	None	None	hypothetical protein	7	60	1	1	7	0	1	7	0	2	0	0	0	0	0.1364	0.1364	0.0	0.0	0.0	0.0	0.0	0.0	0-0
TemPhD_cluster_33807_CDS_0026	None	None	hypothetical protein	7	231	1	1	7	0	1	7	0	2	0	0	0	0	0.1364	0.1364	0.0	0.0	0.0	0.0	0.0	0.0	0-0
MGV-GENOME-0232811_CDS_0024	None	None	hypothetical protein	1	462	1	1	1	0	1	1	0	1	1	0	0	0	0.1364	0.1364	0.0	0.0	0.0	0.0	0.0	0.0	0-0
MGV-GENOME-0232811_CDS_0025	defence	Protein of unknown function (Retron_VII_2__DUF3800)	hypothetical protein	1	349	1	1	1	0	1	1	0	1	0	0	0	0	0.1137	0.1137	0.0	0.0	0.0	0.0	0.0	0.0	0-0
TemPhD_cluster_28372_CDS_0022	None	None	tail protein	2	326	1	1	2	0	1	2	0	7	0	0	0	0	0.1364	0.1364	0.0	0.0	0.0	0.0	0.0	0.0	0-0
TemPhD_cluster_28372_CDS_0023	None	None	hypothetical protein	1	165	1	1	1	0	1	1	0	4	0	0	0	0	0.1364	0.1364	0.0	0.0	0.0	0.0	0.0	0.0	0-0
TemPhD_cluster_28372_CDS_0024	None	None	tail fiber assembly protein	1	136	1	1	1	0	1	1	0	4	0	0	0	0	0.1364	0.1364	0.0	0.0	0.0	0.0	0.0	0.0	0-0
TemPhD_cluster_28372_CDS_0025	None	None	tail fiber protein	1	221	1	1	1	0	1	1	0	4	0	0	0	0	0.1364	0.1364	0.0	0.0	0.0	0.0	0.0	0.0	0-0
TemPhD_cluster_52091_CDS_0027	None	None	DNA invertase	7	198	1	1	7	0	1	7	0	10	0	0	0	0	0.1364	0.1364	0.0	0.0	0.0	0.0	0.0	0.0	0-0
TemPhD_cluster_28392_CDS_0026	None	None	tail protein	6	432	1	1	6	0	1	6	0	9	0	0	0	0	0.1364	0.1364	0.0	0.0	0.0	0.0	0.0	0.0	0-0
TemPhD_cluster_38170_CDS_0024	None	None	tail fiber assembly protein	1	137	1	1	1	0	1	1	0	3	0	0	0	0	0.1364	0.1364	0.0	0.0	0.0	0.0	0.0	0.0	0-0
TemPhD_cluster_38170_CDS_0025	None	None	virion structural protein	1	108	1	1	1	0	1	1	0	3	0	0	0	0	0.1364	0.1364	0.0	0.0	0.0	0.0	0.0	0.0	0-0
TemPhD_cluster_38170_CDS_0026	None	None	DNA invertase	1	61	1	1	1	0	1	1	0	3	0	0	0	0	0.1364	0.1364	0.0	0.0	0.0	0.0	0.0	0.0	0-0
TemPhD_cluster_52209_CDS_0025	None	None	hypothetical protein	1	270	1	1	1	0	1	1	0	0	0	0	0	0	0.1364	0.1364	0.0	0.0	0.0	0.0	0.0	0.0	0-0
TemPhD_cluster_51953_CDS_0027	None	None	hypothetical protein	1	473	1	1	1	0	1	1	0	0	0	0	0	0	0.1364	0.1364	0.0	0.0	0.0	0.0	0.0	0.0	0-0
TemPhD_cluster_28392_CDS_0028	None	None	tail fiber assembly protein	5	147	1	1	5	0	1	5	0	6	0	0	0	0	0.1364	0.1364	0.0	0.0	0.0	0.0	0.0	0.0	0-0
TemPhD_cluster_52091_CDS_0025	None	None	tail fiber assembly	6	201	1	1	6	0	1	6	0	7	0	0	0	0	0.1364	0.1364	0.0	0.0	0.0	0.0	0.0	0.0	0-0
TemPhD_cluster_52262_CDS_0026	None	None	tail collar fiber protein	3	183	1	1	3	0	1	3	0	5	0	0	0	0	0.1364	0.1364	0.0	0.0	0.0	0.0	0.0	0.0	0-0
TemPhD_cluster_62821_CDS_0026	None	None	hypothetical protein	1	281	1	1	1	0	1	1	0	1	0	0	0	0	0.1364	0.1364	0.0	0.0	0.0	0.0	0.0	0.0	0-0
TemPhD_cluster_62821_CDS_0027	None	None	hypothetical protein	1	36	1	1	1	0	1	1	0	1	0	0	0	0	0.1364	0.1364	0.0	0.0	0.0	0.0	0.0	0.0	0-0
TemPhD_cluster_38190_CDS_0026	None	None	hypothetical protein	2	79	1	1	2	0	1	2	0	4	0	0	0	0	0.1364	0.1364	0.0	0.0	0.0	0.0	0.0	0.0	0-0
TemPhD_cluster_52379_CDS_0027	None	None	hypothetical protein	1	66	1	1	1	0	1	1	0	3	0	0	0	0	0.1364	0.1364	0.0	0.0	0.0	0.0	0.0	0.0	0-0
TemPhD_cluster_63155_CDS_0002	None	None	hypothetical protein	6	441	1	1	6	0	1	6	0	0	0	0	0	0	0.3	0.3	0.0143	0.0143	0.0	0.0	0.0	0.0	0-1
TemPhD_cluster_9963_CDS_0003	defence	capP	metallo-protease	3	162	1	1	3	0	1	3	0	2	0	0	0	0	0.2857	0.2857	0.0143	0.0143	0.0	0.0	0.0	0.0	0-1
TemPhD_cluster_9963_CDS_0004	None	None	hypothetical protein	3	162	1	1	3	0	1	3	0	2	1	0	0	0	0.3	0.3	0.0143	0.0143	0.0	0.0	0.0	0.0	0-1
MGV-GENOME-0205381_CDS_0002	None	None	hypothetical protein	2	38	1	1	2	0	1	2	0	1	0	0	0	0	0.3	0.3	0.0143	0.0143	0.0	0.0	0.0	0.0	0-1
MGV-GENOME-0205381_CDS_0003	None	None	ParA-like partition protein	1	379	1	1	1	0	1	1	0	1	0	0	0	0	0.3	0.3	0.0143	0.0143	0.0	0.0	0.0	0.0	0-1
TemPhD_cluster_28372_CDS_0003	defence	PDC-S06_WP_029531116.1	hypothetical protein	3	736	1	1	3	0	1	3	0	1	0	0	0	0	0.2857	0.2857	0.0143	0.0143	0.0	0.0	0.0	0.0	0-1
TemPhD_cluster_28453_CDS_0002	None	None	hypothetical protein	1	157	1	1	1	0	1	1	0	1	0	0	0	0	0.3	0.3	0.0143	0.0143	0.0	0.0	0.0	0.0	0-1
TemPhD_cluster_28453_CDS_0003	None	None	hypothetical protein	1	191	1	1	1	0	1	1	0	1	0	0	0	0	0.3	0.3	0.0143	0.0143	0.0	0.0	0.0	0.0	0-1
TemPhD_cluster_37825_CDS_0002	None	None	hypothetical protein	18	152	1	1	18	0	1	18	0	19	5	0	0	0	0.3	0.3	0.0143	0.0143	0.0	0.0	0.0	0.0	0-1
TemPhD_cluster_33809_CDS_0004	None	None	hypothetical protein	3	198	1	1	3	0	1	3	0	2	0	0	0	0	0.3	0.3	0.0143	0.0143	0.0	0.0	0.0	0.0	0-1
MGV-GENOME-0230157_CDS_0006	None	None	hypothetical protein	7	331	1	1	7	0	1	7	0	4	1	0	0	0	0.3	0.3	0.0143	0.0143	0.0	0.0	0.0	0.0	0-1
TemPhD_cluster_52275_CDS_0002	defence	PDC-S39_WP_191556434.1	hypothetical protein	1	611	1	1	1	0	1	1	0	2	0	0	0	0	0.2857	0.2857	0.0143	0.0143	0.0	0.0	0.0	0.0	0-1
TemPhD_cluster_52275_CDS_0003	None	None	hypothetical protein	1	186	1	1	1	0	1	1	0	2	1	0	0	0	0.3	0.3	0.0143	0.0143	0.0	0.0	0.0	0.0	0-1
TemPhD_cluster_52275_CDS_0004	None	None	portal protein	1	173	1	1	1	0	1	1	0	2	1	0	0	0	0.3	0.3	0.0143	0.0143	0.0	0.0	0.0	0.0	0-1
MGV-GENOME-0230157_CDS_0003	None	None	hypothetical protein	10	69	1	1	10	0	1	10	0	12	2	0	0	0	0.3	0.3	0.0143	0.0143	0.0	0.0	0.0	0.0	0-1
MGV-GENOME-0216186_CDS_0002	None	None	hypothetical protein	1	146	1	1	1	0	1	1	0	5	1	0	0	0	0.3	0.3	0.0143	0.0143	0.0	0.0	0.0	0.0	0-1
TemPhD_cluster_28392_CDS_0005	None	None	hypothetical protein	3	144	1	1	3	0	1	3	0	10	3	0	0	0	0.3	0.3	0.0143	0.0143	0.0	0.0	0.0	0.0	0-1
MGV-GENOME-0216186_CDS_0004	None	None	hypothetical protein	3	44	1	1	3	0	1	3	0	10	3	0	0	0	0.3	0.3	0.0143	0.0143	0.0	0.0	0.0	0.0	0-1
MGV-GENOME-0216186_CDS_0005	None	None	hypothetical protein	1	39	1	1	1	0	1	1	0	5	1	0	0	0	0.3	0.3	0.0143	0.0143	0.0	0.0	0.0	0.0	0-1
MGV-GENOME-0216186_CDS_0006	defence	Retron_I_B__ATPase_TOPRIM_COG3593	hypothetical protein	1	434	1	1	1	0	1	1	0	5	0	0	0	0	0.2857	0.2857	0.0143	0.0143	0.0	0.0	0.0	0.0	0-1
MGV-GENOME-0216186_CDS_0007	None	None	hypothetical protein	1	146	1	1	1	0	1	1	0	5	1	0	0	0	0.3	0.3	0.0143	0.0143	0.0	0.0	0.0	0.0	0-1
TemPhD_cluster_52382_CDS_0002	None	None	hypothetical protein	2	32	1	1	2	0	1	2	0	1	1	0	0	0	0.3	0.3	0.0143	0.0143	0.0	0.0	0.0	0.0	0-1
TemPhD_cluster_52112_CDS_0002	defence	DEDDh_I_II_III_IV_V_VI_1	exonuclease	7	184	1	1	7	0	1	7	0	1	0	0	0	0	0.2857	0.2857	0.0143	0.0143	0.0	0.0	0.0	0.0	0-1
TemPhD_cluster_52112_CDS_0003	None	None	hypothetical protein	7	520	1	1	7	0	1	7	0	1	1	0	0	0	0.3	0.3	0.0143	0.0143	0.0	0.0	0.0	0.0	0-1
TemPhD_cluster_63057_CDS_0002	defence	DrmMII_00005 DrmMII	DNA methyltransferase	11	350	1	1	11	0	1	11	0	13	3	0	0	0	0.2857	0.2857	0.0143	0.0143	0.0	0.0	0.0	0.0	0-1
TemPhD_cluster_51932_CDS_0003	defence	REase_II_00021 Type	hypothetical protein	3	653	1	1	3	0	1	3	0	1	1	0	0	0	0.2857	0.2857	0.0143	0.0143	0.0	0.0	0.0	0.0	0-1
TemPhD_cluster_9973_CDS_0004	None	None	hypothetical protein	1	314	1	1	1	0	1	1	0	2	0	0	0	0	0.3	0.3	0.0143	0.0143	0.0	0.0	0.0	0.0	0-1
TemPhD_cluster_52222_CDS_0002	None	None	hypothetical protein	1	332	1	1	1	0	1	1	0	1	0	0	0	0	0.3	0.3	0.0143	0.0143	0.0	0.0	0.0	0.0	0-1
TemPhD_cluster_52222_CDS_0003	None	None	hypothetical protein	1	214	1	1	1	0	1	1	0	1	0	0	0	0	0.3	0.3	0.0143	0.0143	0.0	0.0	0.0	0.0	0-1
TemPhD_cluster_23882_CDS_0003	None	None	hypothetical protein	2	240	1	1	2	0	1	2	0	2	2	0	0	0	0.3	0.3	0.0143	0.0143	0.0	0.0	0.0	0.0	0-1
TemPhD_cluster_23882_CDS_0004	defence	Menshen__NsnA	hypothetical protein	2	382	1	1	2	0	1	2	0	2	1	0	0	0	0.2857	0.2857	0.0143	0.0143	0.0	0.0	0.0	0.0	0-1
MGV-GENOME-0230157_CDS_0004	defence	DruM2_00002 DNA	DNA methyltransferase	9	315	1	1	9	0	1	9	0	7	0	0	0	0	0.2857	0.2857	0.0143	0.0143	0.0	0.0	0.0	0.0	0-1
TemPhD_cluster_33725_CDS_0003	None	None	hypothetical protein	6	330	1	1	6	0	1	6	0	4	1	0	0	0	0.3	0.3	0.0143	0.0143	0.0	0.0	0.0	0.0	0-1
TemPhD_cluster_52155_CDS_0002	None	None	hypothetical protein	4	66	1	1	4	0	1	4	0	1	0	0	0	0	0.3	0.3	0.0143	0.0143	0.0	0.0	0.0	0.0	0-1
TemPhD_cluster_52155_CDS_0003	None	None	hypothetical protein	4	362	1	1	4	0	1	4	0	1	0	0	0	0	0.3	0.3	0.0143	0.0143	0.0	0.0	0.0	0.0	0-1
NC_022750.1_CDS_0002	virulence	Sb-CDT (VF0987)	cytolethal distending toxin C subunit	6	182	1	1	6	0	1	6	0	2	0	0	0	0	0.3	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0-1
NC_022750.1_CDS_0003	virulence	Sb-CDT (VF0987)	cytolethal distending toxin B subunit	6	270	1	1	6	0	1	6	0	2	0	0	0	0	0.3	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0-1
NC_022750.1_CDS_0004	virulence	Sb-CDT (VF0987)	cytolethal distending toxin A subunit	6	259	1	1	6	0	1	6	0	2	0	0	0	0	0.3	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0-1
TemPhD_cluster_51656_CDS_0002	defence	Phosphoribosyltransferase	hypothetical protein	1	425	1	1	1	0	1	1	0	1	1	0	0	0	0.2857	0.2857	0.0143	0.0143	0.0	0.0	0.0	0.0	0-1
TemPhD_cluster_51656_CDS_0003	defence	DprA	hypothetical protein	1	328	1	1	1	0	1	1	0	1	1	0	0	0	0.2857	0.2857	0.0143	0.0143	0.0	0.0	0.0	0.0	0-1
TemPhD_cluster_63096_CDS_0002	None	None	hypothetical protein	3	80	1	1	3	0	1	3	0	6	3	0	0	0	0.3	0.3	0.0143	0.0143	0.0	0.0	0.0	0.0	0-1
TemPhD_cluster_63096_CDS_0004	defence	REase_II_00021 Type	hypothetical protein	2	666	1	1	2	0	1	2	0	3	1	0	0	0	0.2857	0.2857	0.0143	0.0143	0.0	0.0	0.0	0.0	0-1
TemPhD_cluster_37906_CDS_0005	None	None	hypothetical protein	1	38	1	1	1	0	1	1	0	3	2	0	0	0	0.3	0.3	0.0143	0.0143	0.0	0.0	0.0	0.0	0-1
TemPhD_cluster_62821_CDS_0004	None	None	hypothetical protein	3	227	1	1	3	0	1	3	0	3	2	0	0	0	0.3	0.3	0.0143	0.0143	0.0	0.0	0.0	0.0	0-1
TemPhD_cluster_52262_CDS_0004	defence	Menshen__NsnA	hypothetical protein	3	381	1	1	3	0	1	3	0	3	1	0	0	0	0.2857	0.2857	0.0143	0.0143	0.0	0.0	0.0	0.0	0-1
TemPhD_cluster_37904_CDS_0004	None	None	hypothetical protein	3	342	1	1	3	0	1	3	0	5	1	0	0	0	0.3	0.3	0.0143	0.0143	0.0	0.0	0.0	0.0	0-1
TemPhD_cluster_37904_CDS_0005	None	None	hypothetical protein	3	358	1	1	3	0	1	3	0	5	1	0	0	0	0.3	0.3	0.0143	0.0143	0.0	0.0	0.0	0.0	0-1
uvig_315197_CDS_0003	None	None	hypothetical protein	1	244	1	1	1	0	1	1	0	2	0	0	0	0	0.3	0.3	0.0143	0.0143	0.0	0.0	0.0	0.0	0-1
uvig_315197_CDS_0004	None	None	hypothetical protein	1	327	1	1	1	0	1	1	0	2	0	0	0	0	0.3	0.3	0.0143	0.0143	0.0	0.0	0.0	0.0	0-1
TemPhD_cluster_62953_CDS_0004	None	None	hypothetical protein	2	376	1	1	2	0	1	2	0	4	1	0	0	0	0.3	0.3	0.0143	0.0143	0.0	0.0	0.0	0.0	0-1
TemPhD_cluster_62953_CDS_0005	None	None	hypothetical protein	2	340	1	1	2	0	1	2	0	4	1	0	0	0	0.3	0.3	0.0143	0.0143	0.0	0.0	0.0	0.0	0-1
TemPhD_cluster_37825_CDS_0005	defence	PD-Lambda-5__PD-Lambda-5_B	DNA methyltransferase	2	335	1	1	2	0	1	2	0	4	0	0	0	0	0.2857	0.2857	0.0143	0.0143	0.0	0.0	0.0	0.0	0-1
TemPhD_cluster_38190_CDS_0004	None	None	hypothetical protein	2	299	1	1	2	0	1	2	0	2	0	0	0	0	0.3	0.3	0.0143	0.0143	0.0	0.0	0.0	0.0	0-1
TemPhD_cluster_62992_CDS_0003	defence	Shedu__SduA	hypothetical protein	1	334	1	1	1	0	1	1	0	4	1	0	0	0	0.2857	0.2857	0.0143	0.0143	0.0	0.0	0.0	0.0	0-1
TemPhD_cluster_62992_CDS_0004	None	None	transposase	1	92	1	1	1	0	1	1	0	4	2	0	0	0	0.3	0.3	0.0143	0.0143	0.0	0.0	0.0	0.0	0-1
TemPhD_cluster_62992_CDS_0005	None	None	transposase	1	126	1	1	1	0	1	1	0	4	2	0	0	0	0.3	0.3	0.0143	0.0143	0.0	0.0	0.0	0.0	0-1
TemPhD_cluster_62992_CDS_0006	None	None	hypothetical protein	1	175	1	1	1	0	1	1	0	4	2	0	0	0	0.3	0.3	0.0143	0.0143	0.0	0.0	0.0	0.0	0-1
TemPhD_cluster_52091_CDS_0002	defence	Lamassu-Fam__LmuA_effector_Lipase	hypothetical protein	1	408	1	1	1	0	1	1	0	2	0	0	0	0	0.2857	0.2857	0.0143	0.0143	0.0	0.0	0.0	0.0	0-1
TemPhD_cluster_52091_CDS_0003	defence	Lamassu-Fam__LmuC_acc_Lipase	hypothetical protein	1	133	1	1	1	0	1	1	0	2	0	0	0	0	0.2857	0.2857	0.0143	0.0143	0.0	0.0	0.0	0.0	0-1
TemPhD_cluster_52091_CDS_0004	defence	Lamassu-Fam__LmuB_SMC_Lipase	hypothetical protein	1	656	1	1	1	0	1	1	0	2	0	0	0	0	0.2857	0.2857	0.0143	0.0143	0.0	0.0	0.0	0.0	0-1
TemPhD_cluster_52379_CDS_0002	None	None	hypothetical protein	1	52	1	1	1	0	1	1	0	4	2	0	0	0	0.3	0.3	0.0143	0.0143	0.0	0.0	0.0	0.0	0-1
TemPhD_cluster_28392_CDS_0003	defence	retron_type_VI_hth_cluster2_1	hypothetical protein	2	103	1	1	2	0	1	2	0	6	1	0	0	0	0.2857	0.2857	0.0143	0.0143	0.0	0.0	0.0	0.0	0-1
TemPhD_cluster_28392_CDS_0004	defence	retron_VI	polymerase	2	299	1	1	2	0	1	2	0	6	1	0	0	0	0.2857	0.2857	0.0143	0.0143	0.0	0.0	0.0	0.0	0-1
TemPhD_cluster_62779_CDS_0002	defence	Rst_2TM_1TM_TIR__Rst_2TM_TIR	hypothetical protein	1	125	1	1	1	0	1	1	0	4	0	0	0	0	0.2857	0.2857	0.0143	0.0143	0.0	0.0	0.0	0.0	0-1
TemPhD_cluster_62779_CDS_0003	defence	Rst_2TM_1TM_TIR__Rst_1TM_TIR	hypothetical protein	1	186	1	1	1	0	1	1	0	4	0	0	0	0	0.2857	0.2857	0.0143	0.0143	0.0	0.0	0.0	0.0	0-1
TemPhD_cluster_62779_CDS_0004	defence	Rst_2TM_1TM_TIR__Rst_TIR_tm	hypothetical protein	1	316	1	1	1	0	1	1	0	4	0	0	0	0	0.2857	0.2857	0.0143	0.0143	0.0	0.0	0.0	0.0	0-1
TemPhD_cluster_62779_CDS_0005	None	None	hypothetical protein	1	95	1	1	1	0	1	1	0	4	1	0	0	0	0.3	0.3	0.0143	0.0143	0.0	0.0	0.0	0.0	0-1
TemPhD_cluster_62779_CDS_0006	None	None	hypothetical protein	1	306	1	1	1	0	1	1	0	4	1	0	0	0	0.3	0.3	0.0143	0.0143	0.0	0.0	0.0	0.0	0-1
TemPhD_cluster_28392_CDS_0002	None	None	hypothetical protein	1	98	1	1	1	0	1	1	0	5	2	0	0	0	0.3	0.3	0.0143	0.0143	0.0	0.0	0.0	0.0	0-1
TemPhD_cluster_28392_CDS_0007	None	None	hypothetical protein	1	90	1	1	1	0	1	1	0	5	2	0	0	0	0.3	0.3	0.0143	0.0143	0.0	0.0	0.0	0.0	0-1
MGV-GENOME-0168725_CDS_0023	None	None	hypothetical protein	1	485	0	0	0	1	1	0	1	0	0	0	0	0									Non
TemPhD_cluster_28392_CDS_0041	None	None	Cox-like excisionase and repressor	4	92	0	0	0	4	1	0	4	0	0	0	0	0									Non
TemPhD_cluster_51932_CDS_0036	None	None	hypothetical protein	5	57	0	0	0	5	1	0	5	0	0	0	0	0									Non
MGV-GENOME-0205381_CDS_0028	None	None	hypothetical protein	1	267	0	0	0	1	1	0	1	0	0	0	0	0									Non
TemPhD_cluster_52155_CDS_0033	None	None	hypothetical protein	6	79	0	0	0	6	1	0	6	0	0	0	0	0									Non
TemPhD_cluster_63155_CDS_0031	None	None	hypothetical protein	3	214	0	0	0	3	1	0	3	0	0	0	0	0									Non
TemPhD_cluster_33809_CDS_0037	None	None	replication initiation protein	1	176	0	0	0	1	1	0	1	0	0	0	0	0									Non
TemPhD_cluster_52155_CDS_0023	None	None	tail fiber protein	15	674	0	0	0	15	1	0	15	0	0	0	0	0									Non
TemPhD_cluster_63038_CDS_0032	None	None	hypothetical protein	1	134	0	0	0	1	1	0	1	0	0	0	0	0									Non
TemPhD_cluster_63155_CDS_0026	None	None	hypothetical protein	1	50	0	0	0	1	1	0	1	0	0	0	0	0									Non
TemPhD_cluster_28392_CDS_0036	None	None	hypothetical protein	2	141	0	0	0	2	1	0	2	0	0	0	0	0									Non
SAMN09781779_a1_ct39878_CDS_0021	None	None	hypothetical protein	10	262	0	0	0	10	1	0	10	0	0	0	0	0									Non
NC_049461.1_CDS_0018	None	None	hypothetical protein	5	247	0	0	0	5	1	0	5	0	0	0	0	0									Non
TemPhD_cluster_51656_CDS_0041	None	None	phosphoadenosine phosphosulfate reductase	1	334	0	0	0	1	1	0	0	0	0	0	0	0									Non
TemPhD_cluster_51953_CDS_0008	None	None	hypothetical protein	1	183	0	0	0	1	1	0	1	0	0	0	0	0									Non
NC_049457.1_CDS_0011	None	None	major head protein	2	175	0	0	0	2	1	0	2	0	0	0	0	0									Non
TemPhD_cluster_51953_CDS_0024	None	None	tail fiber protein	1	346	0	0	0	1	1	0	1	0	0	0	0	0									Non
TemPhD_cluster_51953_CDS_0025	None	None	hypothetical protein	1	445	0	0	0	1	1	0	1	0	0	0	0	0									Non
uvig_315197_CDS_0031	None	None	hypothetical protein	1	458	0	0	0	1	1	0	1	0	0	0	0	0									Non
uvig_315197_CDS_0032	None	None	hypothetical protein	1	233	0	0	0	1	1	0	1	0	0	0	0	0									Non
uvig_315197_CDS_0033	None	None	hypothetical protein	1	167	0	0	0	1	1	0	1	0	0	0	0	0									Non
MGV-GENOME-0230591_CDS_0033	None	None	tail protein	1	192	0	0	0	1	1	0	1	0	0	0	0	0									Non
MGV-GENOME-0230591_CDS_0034	None	None	tail protein	1	195	0	0	0	1	1	0	1	0	0	0	0	0									Non
MGV-GENOME-0230157_CDS_0008	None	None	terminase large subunit	1	389	0	0	0	1	1	0	1	0	0	0	0	0									Non
MGV-GENOME-0230157_CDS_0009	None	None	terminase large subunit	1	162	0	0	0	1	1	0	1	0	0	0	0	0									Non
NC_022750.1_CDS_0035	None	None	Cox-like excisionase and repressor	1	41	0	0	0	1	1	0	1	0	0	0	0	0									Non
NC_022750.1_CDS_0036	None	None	hypothetical protein	1	391	0	0	0	1	1	0	1	0	0	0	0	0									Non
NC_022750.1_CDS_0037	None	None	hypothetical protein	1	266	0	0	0	1	1	0	1	0	0	0	0	0									Non
